"LICH_SPPCD","SPP_NAME","YEAREND","YEARSTART","SPP_COMMENTS","CN","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
8036,"Usnea glabrata",,1993,"ACTION 3: For analyzing data from multiple years crossing 2000, 8088 Usnea esperantiana should be combined into 8036 U. glabrata. 8088 U. esperantiana possibly intergrades with 8036 U. glabrata.","689751000333","",2007-05-04,"333","",,""
8037,"Usnea glabrescens",,1993,"ACTION 2: 8034 Usnea fulvoreagens should be combined into 8037 U. glabrescens for analysis. This name was first used in 1999 in the west.  Previous material classed as 8000 Usnea sp. may include this taxon. It cannot be distinguished from 8034 U. fulvoreagens without TLC and should be considered a synonym for the purposes of this program.","689752000333","",2004-02-10,"999","",,"333"
8042,"Usnea intermedia",,1993,"ACTION 2: 8007Usnea arizonica should be combined into 8042 Usnea intermedia for all analyses.  The two species are synonyms and 8042 Usnea intermediais used for all identifications of similar specimens  for 2010 data and later (Clerc in Nash et al. 2007. Lichen Flora...Sonoran...vol 3).","2315689000440","",2011-03-09,"440","",,""
8044,"Usnea lapponica",,1993,"ACTION 0. In the western US, this name has been used in the broad sense, including all specimens that were papillate, tufted, and had soredia erupting through concave craters in the cortex, with reflexed edges, and soralia often surrounding the central cord.","689753000333","",2004-02-10,"999","",2004-04-20,"999"
8047,"Usnea madeirensis",2005,1993,"ACTION 0. 8047 Usnea madeirensis = 8047 Usnea silesiaca The latter name was used starting with 2005 data.","689754000333","",2007-05-04,"333","",,""
8047,"Usnea silesiaca",,2005,"ACTION 0. 8047 Usnea madeirensis = 8047 Usnea silesiaca The latter name was used starting with 2005 data.","689755000333","",2007-05-04,"333","",,""
8058,"Usnea plicata",,1993,"ACTION 2: 8058 Usnea plicata should be combined into 8029 U. filipendula for analysis. Starting in 1998, this aggregate (mostly West) has been included in the broader aggregate 8029 U. filipendula; the name 8058 U. plicata is no longer used in FIA as it is nomenclaturally ambiguous.","689756000333","",2004-02-10,"999","",2005-06-15,"333"
8061,"Usnea parvula",,2010,"ACTION 3: For analyzing data from multiple years crossing 2010, 8016 Usnea cirrosa should be combined into 8061 U. parvula.  The name U. parvula was first applied for the 2010 data (Clerc in Nash et al. 2007. Lichen Flora...Sonoran...vol 3).  Prior to this, it was most likely identified as 8016 U. cirrosa. 8016 U. cirrosa has red pigment present in the edges of apothecia; 8061 U. parvula does not.","2315690000440","",2011-03-09,"440","",,""
8072,"Usnea subfloridana",,1993,"ACTION 0. In Colorado 1992-1996, and in the Pacific Northwest region 1994, this name was used in the broad sense, including all specimens that were papillate, tufted, and had isidia. Starting with 1998 data, this taxon was applied sensu stricto. In the East for 1993-1997 data, this name was used for all specimens that were papillate, tufted, and had both soredia and isidia, the isidia projecting from the soralia. Starting with 1998 data, this taxon was applied sensu stricto after the concepts of Halonen et al. (1998, Bryologist 101:36-60), to the extent that chemotypes can be distinguished with spot tests alone.","689757000333","",2004-02-10,"999","",,"333"
8087,"Usnea chaetophora",,1997,"ACTION 3: For analyzing data from multiple years crossing 1998, 8087 Usnea chaetophora should be combined into 8029 U. filipendula. In the western US, this taxon represents part of the U. filipendula group, which includes U. plicata and several others.  This name began to be applied widely in the western US in 1998 data. This species group replaces the old (pre-1998) taxon U. plicata.","689745000333","",2007-05-04,"333","",2008-04-11,"333"
8088,"Usnea esperantiana",,1997,"ACTION 3: For analyzing data from multiple years crossing 2000, 8088 Usnea esperantiana should be combined into 8036 U. glabrata. This taxon was first applied in 2000 in the west.  It is a recognizable syndrome, but possibly intergrades with 8036 U. glabrata","689747000333","",2004-02-10,"999","",2004-04-20,"999"
8100,"Waynea",,1993,"ACTION 1: Exclude for most FIA analysis. Squamulose growth form included in some data. This has been collected inconsistently and not included in data for most years. If it appears in a packet, it is recorded on the ID sheet but not entered in the data files.","689761000333","",2007-05-04,"333","",,""
8101,"Waynea californica",,1993,"ACTION 1: Exclude for most FIA analysis. Squamulose growth form included in some data. This has been collected inconsistently and not included in data for most years. If it appears in a packet, it is recorded on the ID sheet but not entered in the data files.","689762000333","",2007-05-04,"333","",,""
8151,"Vulpicida canadensis",,1997,"ACTION 2: 8151 Vulpicida canadensis should be combined into 1004 Cetraria canadensis for all analyses. 1004 Cetraria canadensis = 8151 Vulpicida canadensis. Both names need to remain in the master list; data have been coded with one or the other name (but not both). For FIA data the former name is preferred.","689758000333","",2004-02-10,"999","",2004-04-20,"999"
8152,"Vulpicida pinastri",,1997,"ACTION 2: 8152 Vulpicida pinastri should be combined into 1015  Cetraria pinastri for all analyses. 1015 Cetraria pinastri = 8152 Vulpicida pinastri. Both names need to remain in the master list; data have been coded with one or the other name (but not both). For FIA data the former name is preferred.","689759000333","",2004-02-10,"999","",2004-04-20,"999"
8153,"Vulpicida viridis",,1997,"ACTION 2: 8153 Vulpicida viridis should be combined into 1020 Cetraria viridis for all analyses. 1020 Cetraria viridis = 8153 Vulpicida viridis.  The latter is now the most current name, but both names need to remain in the master list; data have been coded with one or the other name (but not both).","689760000333","",2004-02-10,"999","",2004-04-20,"999"
8170,"Xanthomendoza",,2004,"ACTION 2: For analysis 8170 Xanthomendoza should be combined into 8200 Xanthoria. Before 2004 data, 8170 Xanthomendoza sp. would have been placed under 8200 Xanthoria sp. Specimens that cannot be identified to species are coded 8200 Xanthoria unless the ID specialist is certain they belong to 8170 Xanthomendoza sp.","689763000333","",2005-06-15,"333","",,""
8200,"Xanthoria",,1993,"ACTION 2: For analysis 8170 Xanthomendoza should be combined into 8200 Xanthoria. Before 2004 data, 8170 Xanthomendoza sp. would have been placed under 8200 Xanthoria sp. Specimens that cannot be identified to species are coded 8200 Xanthoria unless the ID specialist is certain they belong to 8170 Xanthomendoza sp.","689775000333","",2005-06-15,"333","",,""
8201,"Xanthoria candelaria",,1993,"ACTION 0. Xanthoria candelaria has been used in the restricted sense of Lindblom (1997).","689778000333","",2004-02-10,"999","",2004-04-20,"999"
8203,"Xanthomendoza fallax",,2004,"ACTION 3: For data analysis for multiple years crossing 1997, 8210 Xanthomendoza fulva, 8219 X. galericulata, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes should be combined into 8203 X. fallax. 8203 Xanthoria fallax = 8203 Xanthomendoza fallax. The latter name was used starting with 2004 data. Xanthoria fallax was applied broadly prior to Lindblom (1997). Starting with 1997 data, Lindblom's much narrower concept of X. fallax was applied. Western US: Before 1997, 8210 X. fulva, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes were mostly included in the concept of 8203 X. fallax. In most western states 8210 X. fulva is common, so pre-1995 8203 X. fallax probably includes many specimens of 8210 X. fulva. Colorado 1992-1996 8203 X. fallax were re-examined; only a few were found to be 8210 X. fulva and no pre-1997 data entries were changed. Eastern US: 8210  X. fulva and 8218 X. ulophyllodes are moderately common, so pre-1997 X. fallax probably includes many specimens of 8210 X. fulva and 8218 X. ulophyllodes.  ","689766000333","",2005-06-15,"333","",2007-05-08,"333"
8203,"Xanthoria fallax",2004,1993,"ACTION 3: For data analysis for multiple years crossing 1997, 8210 Xanthomendoza fulva, 8219 X. galericulata, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes should be combined into 8203 X. fallax. 8203 Xanthoria fallax = 8203 Xanthomendoza fallax The latter name was used starting with 2004 data. See the latter for additional notes.","689779000333","",2004-02-10,"999","",2005-06-15,"333"
8204,"Xanthomendoza hasseana",,2004,"ACTION 5: ACTION 3: West - for data analysis for multiple years crossing 1997, 8204 Xanthomendoza hasseana and 8214 X. montana should be combined into 8207 Xanthoria polycarpa group. ACTION 3: East - for data analysis for multiple years crossing 1997, 8207 X. polycarpa should be combined into 8204 X. hasseana. 8204 Xanthoria hasseana = 8204 Xanthomendoza hasseana The latter name was used starting with 2004 data. Western US: 8207 X. polycarpa was applied broadly prior to Lindblom (1997) and included 8204 X. hasseana in 1996 data and before.  8204 X. hasseana was applied starting with 1997 data.  Separation of 8214 X. montana from 8204 X. hasseana requires a spore test via light microscope, not routinely done for FIA. Based on known geographic ranges, all specimens in the PNW region are assigned to  8204 X. hasseana and in the IW region, all specimens are assigned to 8214 X. montana. Eastern US: 8207 X. polycarpa for pre-1997 data is almost all the same taxon as 8204 X. hasseana, which is the name used starting with 1997 data.","689769000333","",2005-06-15,"333","",2007-05-08,"333"
8204,"Xanthoria hasseana",2004,1993,"ACTION 5: ACTION 3: West - for data analysis for multiple years crossing 1997, 8204 Xanthomendoza hasseana and 8214 X. montana should be combined into 8207 Xanthoria polycarpa group. ACTION 3: East - for data analysis for multiple years crossing 1997, 8207 X. polycarpa should be combined into 8204 X. hasseana. 8204 Xanthoria hasseana = 8204 Xanthomendoza hasseana The latter name was used starting with 2004 data. See the latter for additional notes.","689781000333","",2004-02-10,"999","",2007-05-08,"333"
8207,"Xanthoria polycarpa",,1993,"ACTION 5: ACTION 3: West - for data analysis for multiple years crossing 1997, 8204 Xanthomendoza hasseana and 8214 X. montana should be combined into 8207 Xanthoria polycarpa group. ACTION 3: East - for data analysis for multiple years crossing 1997, 8207 X. polycarpa should be combined into 8204 X. hasseana. 8207 X. polycarpa was applied broadly prior to Lindblom (1997). Starting with 1997 data, 8207 X. polycarpa has been applied much more narrowly. Western US:  Prior to 1997, this taxon may have included 8207 X. polycarpa, 8214 X. montana, 8204 X. hasseana, and 8213 X. mendozae.  Colorado 1992-1996 specimens were examined and reassigned to 8214 X. montana. Also see notes for 8214 X. montana and 8204 X. hasseana. Eastern US: 8207 X. polycarpa for pre-1997 data is almost all the same taxon as 8204 X. hasseana, the name used for 1997 and later data.","689785000333","",2004-02-10,"999","",2007-05-08,"333"
8209,"Xanthomendoza subramulosa",,2004,"ACTION 0. 8209 Xanthoria subramulosa = 8209 Xanthomendoza subramulosa The latter name was used starting with 2004 data.","689773000333","",2005-06-15,"333","",,""
8209,"Xanthoria subramulosa",2004,1993,"ACTION 0. 8209 Xanthoria subramulosa = 8209 Xanthomendoza subramulosa The latter name was used starting with 2004 data.","689786000333","",2005-06-15,"333","",,""
8210,"Xanthomendoza fulva",,2004,"ACTION 6: ACTION 3: For data analysis for multiple years crossing 1997, 8210 Xanthomendoza fulva, 8219 X. galericulata, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes should be combined into 8203 X. fallax. 8210 Xanthoria fulva = 8210 Xanthomendoza fulva The latter name was used starting with 2004 data.  In pre-2004 data this taxon may have included 8219 X. galericulata (also see notes under 8215 Xanthomendoza oregana). Before 1997, 8210 X. fulva, if present, was mostly included with 8203 X. fallax. In 1997 and after, Lindblom's much narrower concept of 8203 X. fallax was applied and the name 8210 X. fulva was used more frequently. ACTION 3: For data analysis for multiple years crossing 2004, 8219 X. galericulata should be combined into 8210 X. fulva. Western US:  In most western states 8210 X. fulva is common, so pre-1997 8203 X. fallax probably includes many specimens of 8210 X. fulva. Colorado 1992-1996 8203 X. fallax were re-examined; only a few were found to be 8210 X. fulva and no pre-1997 data entries were changed. Eastern US: 8210 X. fulva specimens are moderately common, so pre-1995 8203 X. fallax probably includes many specimens of  8210 X. fulva.","689767000333","",2005-06-15,"333","",2007-05-08,"333"
8210,"Xanthoria fulva",2004,1995,"ACTION 6: ACTION 3: For data analysis for multiple years crossing 1997, 8210 Xanthomendoza fulva, 8219 X. galericulata, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes should be combined into 8203 X. fallax. ACTION 3: For data analysis for multiple years crossing 2004, 8219 X. galericulata should be combined into 8210 X. fulva. 8210 Xanthoria fulva = 8210 Xanthomendoza fulva The latter name was used starting with 2004 data. See the latter for additional notes.","689780000333","",2004-02-10,"999","",2005-06-15,"333"
8211,"Xanthomendoza borealis",,2004,"ACTION 0. 8211 Xanthoria borealis = 8211 Xanthomendoza borealis The latter name was used starting with 2004 data.","689764000333","",2005-06-15,"333","",,""
8211,"Xanthoria borealis",2004,1997,"ACTION 0. 8211 Xanthoria borealis = 8211 Xanthomendoza borealis The latter name was used starting with 2004 data.","689776000333","",2005-06-15,"333","",,""
8212,"Xanthomendoza concinna",,2004,"ACTION 0. 8212 Xanthoria concinna = 8212 Xanthomendoza concinna. The latter name was used starting with 2004 data.","689765000333","",2005-06-15,"333","",,""
8212,"Xanthoria concinna",2004,1997,"ACTION 0. 8212 Xanthoria concinna = 8212 Xanthomendoza concinna The latter name was used starting with 2004 data.","689777000333","",2005-06-15,"333","",,""
8213,"Xanthomendoza mendozae",,2005,"ACTION 3: For data analysis for multiple years crossing 1997, 8210 Xanthomendoza fulva, 8219 X. galericulata, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes should be combined into 8203 X. fallax. 8213 Xanthoria mendozae = 8213 Xanthomendoza mendozae The latter name was used starting with 2005 data.","689770000333","",2007-05-04,"333","",,""
8213,"Xanthoria mendozae",2005,1997,"ACTION 3: For data analysis for multiple years crossing 1997, 8210 Xanthomendoza fulva, 8219 X. galericulata, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes should be combined into 8203 X. fallax. 8213 Xanthoria mendozae = 8213 Xanthomendoza mendozae The latter name was used starting with 2005 data.","689782000333","",2007-05-04,"333","",,""
8214,"Xanthomendoza montana",,2004,"ACTION 5: ACTION 3: West - for data analysis for multiple years crossing 1997, 8204 Xanthomendoza hasseana and 8214 X. montana should be combined into 8207 Xanthoria polycarpa group. ACTION 0: East. 8214 Xanthoria montana = 8214 Xanthomendoza montana The latter name was used starting with 2004 data. Western US: 8207 X. polycarpa was applied broadly prior to Lindblom (1997) and included 8214 X. montana in 1996 data and before. 8214  X. montana was applied starting with 1997 data. Separation of 8214 X. montana from 8204 X. hasseana requires a spore test via light microscope, not routinely done for FIA. Based on known geographic ranges, all specimens in the PNW region are assigned to  8204 X. hasseana and in the IW region, all specimens are assigned to 8214 X. montana. Colorado 1992-1996 specimens were examined and reassigned to 8214 X. montana.","689771000333","",2005-06-15,"333","",2007-05-08,"333"
8214,"Xanthoria montana",2004,1997,"ACTION 5: ACTION 3: West - for data analysis for multiple years crossing 1997, 8204 Xanthomendoza hasseana and 8214 X. montana should be combined into 8207 Xanthoria polycarpa group. ACTION 0: East. 8214 Xanthoria montana =8214 Xanthomendoza montana The latter name was used starting with 2004 data. See the latter for additional notes.","689783000333","",2004-02-10,"999","",2007-05-08,"333"
8215,"Xanthomendoza oregana",,2004,"ACTION 3: For data analysis for multiple years crossing 1997, 8210 Xanthomendoza fulva, 8219 X. galericulata, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes should be combined into 8203 X. fallax. 8215 Xanthoria oregana = 8215 Xanthomendoza oregana The latter name was used starting with 2004 data In pre-2004 data this taxon may have included 8219 X. galericulata (also see notes under 8210 X. fulva). Western US: This taxon was distinguished starting with 1997data.  In prior years, if present it was included with 8203 X. fallax, which was broadly applied.","689772000333","",2005-06-15,"333","",,""
8215,"Xanthoria oregana",2004,1997,"ACTION 3: For data analysis for multiple years crossing 1997, 8210 Xanthomendoza fulva, 8219 X. galericulata, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes should be combined into 8203 X. fallax. 8215 Xanthoria oregana = 8215 Xanthomendoza oregana The latter name was used starting with 2004 data.  See the latter for additional notes.","689784000333","",2004-02-10,"999","",2005-06-15,"333"
8218,"Xanthomendoza ulophyllodes",,2004,"ACTION 3: For data analysis for multiple years crossing 1997, 8210 Xanthomendoza fulva, 8219 X. galericulata, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes should be combined into 8203 X. fallax. 8218 Xanthoria ulophyllodes = 8218 Xanthomendoza ulophyllodes The latter name was used starting with 2004 data. Before 1997 data, 8218 X. ulophyllodes was included with 8203 X. fallax. Starting with 1997 data, Lindblom's much narrower concept of 8203 X. fallax was applied and the name 8218 X. ulophyllodes was used. Western US: This species is uncommon; it would have been included with 8203 X. fallax for pre-1997 data if present.  Starting with 1997 data it has been recorded using Lindblom's concepts. Eastern US:  8218 X. ulophyllodes is moderately common, so pre-1997 8203 X. fallax probably includes many specimens of the former species.","689774000333","",2005-06-15,"333","",2007-05-08,"333"
8218,"Xanthoria ulophyllodes",2004,1997,"ACTION 3: For data analysis for multiple years crossing 1997, 8210 Xanthomendoza fulva, 8219 X. galericulata, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes should be combined into 8203 X. fallax. 8218 Xanthoria ulophyllodes = 8218 Xanthomendoza ulophyllodes The latter name was used starting with 2004 data. See the latter for additional notes.","689787000333","",2004-02-10,"999","",2005-06-15,"333"
8219,"Xanthomendoza galericulata",,2005,"ACTION 6: ACTION 3: For data analysis for multiple years crossing 1997, 8210 Xanthomendoza fulva, 8219 X. galericulata, 8213 X. mendozae, 8215 X. oregana, and 8218 X. ulophyllodes should be combined into 8203 X. fallax. ACTION 3: For data analysis for multiple years crossing 2004, 8219 X. galericulata should be combined into 8210 X. fulva. This is a distinct species included in Nash et al. (2004...Sonoran Desert, v2) and Lindblom 2006. It differs from 8210 X. fulva and 8215 X. oregana in having soredia produced from the underside of hood-like or helmet-shaped lobe tips.  At this time we have no recommendation for how to compare with pre-2004 data.","689768000333","",2007-05-04,"333","",2007-05-08,"333"
8301,"Candelaria concolor",,1993,"ACTION 3: For analyzing data from multiple years crossing 2002, 8303 Candelaria pacifica should be combined into 8301 C. concolor. Before the 2002 data, this species included  8303 C. pacifica.  ","689610000333","",2005-06-15,"333","",,""
8303,"Candelaria pacifica",,2005,"ACTION 3: For analyzing data from multiple years crossing 2002, 8303 Candelaria pacifica should be combined into 8301 C. concolor. This is a distinct species segregated from 8301 C. concolor  not officially named yet; in Nash et al. (2002...Sonoran Desert, v1). It differs from 8301 C. concolor in having greenish soredia from the underside, subfruticose habit, and an underside which mostly lacks cortex.","689611000333","",2004-02-10,"999","",2007-05-08,"333"
8600,"Lecanora",,2002,"ACTION 1: Exclude for most FIA analysis. Crustose growth form included in some data. This has been collected inconsistently and not included in data for most years. If it appears in a packet, it is recorded on the ID sheet but not entered in the data files.","689658000333","",2007-05-04,"333","",,""
8601,"Lecanora muralis",,2002,"ACTION 1: Exclude for most FIA analysis. Lobate crustose growth form included in some data. This has been collected inconsistently and not included in data for most years. If it appears in a packet, it is recorded on the ID sheet but not entered in the data files.","689659000333","",2007-05-04,"333","",,""
601,"Bryoria abbreviata",,1993,"ACTION 2: 601 Bryoria abbreviata should be combined into 4551 Nodobryoria abbreviata for all analyses. 601 B. abbreviata = 4551 N. abbreviata.","689603000333","",2004-02-10,"999","",2005-06-15,"333"
603,"Bryoria capillaris",,1993,"ACTION 0. Bryoria capillaris includes the K- chemotype described as B. pikei. Specialists should note the chemistry of B. capillaris on the ID sheet.","690501000333","",2007-05-15,"333","",2007-05-17,"333"
606,"Bryoria chalybeiformis",,1993,"ACTION 0. The name Bryoria fuscescens was used in a broad sense for most specimens in the B. fuscescens complex. Only specimens which clearly fit the morphology of B. chalybeiformis were assigned the latter name.","689604000333","",2004-02-10,"999","",2004-04-20,"999"
610,"Bryoria fuscescens",,1993,"ACTION 0. Western US: The name Bryoria fuscescens was used in a broad sense for most specimens in the B. fuscescens complex. Only specimens which clearly fit the morphology of B. chalybeiformis, B. glabra, or B. lanestris were assigned one of these names.","689605000333","",2004-02-10,"999","",2004-04-20,"999"
611,"Bryoria glabra",,1993,"ACTION 0. The name Bryoria fuscescens was used in a broad sense for most specimens in the B. fuscescens complex. Only specimens which clearly fit the morphology of B. glabra were assigned the latter name.","689606000333","",2004-02-10,"999","",2004-04-20,"999"
613,"Bryoria lanestris",,1993,"ACTION 0. The name Bryoria fuscescens was used in a broad sense for most specimens in the B. fuscescens complex. Only specimens which clearly fit the morphology of B. lanestris were assigned the latter name.","689607000333","",2004-02-10,"999","",2004-04-20,"999"
615,"Bryoria oregana",,1993,"ACTION 2: 615 Bryoria oregana should be combined into 4552 Nodobryoria oregana for all analyses. 615 B. oregana = 4552 N. oregana","689609000333","",2004-02-10,"999","",2005-06-15,"333"
627,"Bryoria mystery olive sp.",,1997,"ACTION 0. This taxon appears to be an identifiable undescribed species, see McCune and Geiser (1997) Bryoria key pg. 33. It should be kept separate for analysis.","689608000333","",2007-05-04,"333","",,""
770,"Canomaculina",,2002,"ACTION 0. Canomaculina has been synonymized under Parmotrema (Blanco, et al 2005); we are retaining it at this time.","689612000333","",2007-05-04,"333","",,""
850,"Catapyrenium",,2002,"ACTION 1: Exclude for most analysis. Squamulose growth form included in CA 1998 data. This has been inconsistently collected and not included in data for most years. If it appears in a packet, it is recorded on the ID sheet but not entered in the data files.","689617000333","",2007-05-04,"333","",,""
851,"Catapyrenium tuckermanii",,2002,"ACTION 1: Exclude for most analysis. Squamulose growth form included in CA 1998 data. This has been inconsistently collected and not included in data for most years. If it appears in a packet, it is recorded on the ID sheet but not entered in the data files.","689618000333","",2004-02-10,"999","",2004-04-20,"999"
1003,"Cetraria californica",,1993,"ACTION 0. Cetraria californica = Kaernefeltia californica = Tuckermannopsis californica.  FIA data have used the first name.","689619000333","",2004-02-10,"999","",2004-04-20,"999"
1004,"Cetraria canadensis",,1993,"ACTION 2: 8151 Vulpicida canadensis should be combined into 1004 Cetraria canadensis for all analyses. 1004 C. canadensis = 8151 V. canadensis.  Both names need to remain in the master list; data have been coded with one or the other name (but not both). For FIA data the former name is preferred.","689620000333","",2004-02-10,"999","",2004-04-20,"999"
1005,"Cetraria chlorophylla",,1993,"ACTION 0. Cetraria chlorophylla = Tuckermannopsis chlorophylla. The latter is the more recent name; FIA data retain the former name due to lack of scientific consensus.","689621000333","",2004-02-10,"999","",2004-04-20,"999"
1007,"Cetraria coralligera",2003,1993,"ACTION 0. 1007 Cetraria coralligera = 1007 Tuckermanella coralligera - it retains the same code and acronym. 7920 Tuckermanella was recently described (Esslinger in Mycotaxon 85); see note under 7920.","689622000333","",2004-04-19,"999","",2004-04-19,"999"
1007,"Tuckermanella coralligera",,2003,"ACTION 0. Tuckermanella coralligera = Cetraria coralligera; it retains the same code and acronym as the latter name.","689742000333","",2004-04-19,"999","",,"999"
1008,"Cetraria fendleri",2008,1993,"ACTION 0. 1008 Cetraria fendleri = 1008 Tuckermanella fendleri - it retains the same code and acronym. 7920 Tuckermanella was recently described (Esslinger in Mycotaxon 85); see note under 7920","874504000333","",2009-04-21,"333","",,""
